AverageTemperature,AverageTemperatureUncertainty,City,Year,Month,Day
26.435,0.857,Acapulco,1893,7,1
26.984,1.021,Acapulco,1893,8,1
26.891,0.741,Acapulco,1893,9,1
26.08,1.061,Acapulco,1893,10,1
26.429,1.476,Acapulco,1893,11,1
24.641,1.585,Acapulco,1893,12,1
24.97,1.096,Acapulco,1894,1,1
24.326,2.02,Acapulco,1894,2,1
23.387,1.691,Acapulco,1894,3,1
24.423,1.01,Acapulco,1894,4,1
26.104,0.744,Acapulco,1894,5,1
27.336,0.932,Acapulco,1894,6,1
27.078,0.568,Acapulco,1894,7,1
27.137,1.189,Acapulco,1894,8,1
27.173,0.81,Acapulco,1894,9,1
26.384,2.169,Acapulco,1894,10,1
25.543,1.87,Acapulco,1894,11,1
25.106,2.52,Acapulco,1894,12,1
24.208,1.803,Acapulco,1895,1,1
23.805,3.112,Acapulco,1895,2,1
24.088,0.992,Acapulco,1895,3,1
24.717,0.782,Acapulco,1895,4,1
26.022,0.628,Acapulco,1895,5,1
27.211,0.746,Acapulco,1895,6,1
27.233,0.725,Acapulco,1895,7,1
27.419,0.647,Acapulco,1895,8,1
27.185,0.758,Acapulco,1895,9,1
26.31,0.657,Acapulco,1895,10,1
27.488,3.03,Acapulco,1895,11,1
25.513,1.339,Acapulco,1895,12,1
25.051,0.847,Acapulco,1896,1,1
23.616,0.814,Acapulco,1896,2,1
24.594,0.786,Acapulco,1896,3,1
24.977,0.818,Acapulco,1896,4,1
26.819,0.751,Acapulco,1896,5,1
27.78,0.638,Acapulco,1896,6,1
27.903,1.197,Acapulco,1896,7,1
27.623,1.295,Acapulco,1896,8,1
27.368,0.676,Acapulco,1896,9,1
27.594,1.535,Acapulco,1896,10,1
27.562,0.854,Acapulco,1896,11,1
24.988,0.798,Acapulco,1896,12,1
25.286,1.874,Acapulco,1897,1,1
25.243,0.997,Acapulco,1897,2,1
25.44,0.9,Acapulco,1897,3,1
25.148,1.039,Acapulco,1897,4,1
26.239,0.781,Acapulco,1897,5,1
27.361,0.917,Acapulco,1897,6,1
27.235,0.658,Acapulco,1897,7,1
27.717,1.537,Acapulco,1897,8,1
26.403,0.879,Acapulco,1897,9,1
27.289,0.682,Acapulco,1897,10,1
27.263,0.947,Acapulco,1897,11,1
